disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q9206284,dereism,,,,
Q25407412,dermatopatophobia,,,,
Q3710162,developmental coordination disorder,disease,,,
Q61913490,developmental delay and seizures with or without movement abnormalities,human disease,,,
Q55785587,"developmental delay-deafness syndrome, Hildebrand type",human disease,,,
Q3087172,developmental disorder,disease of mental health that occur during a child's developmental period between birth and age 18 resulting in retarding of the child's psychological or physical development,,,
Q2313089,developmental language disorder,language abilities below the expected level for a given age,,,
Q17009018,developmental regression,"loss of developmental skills, as manifested by loss of developmental milestones",,,
Q9385421,developmental speech disorder,,,,
Q360035,dhat syndrome,culture-bound syndrome,,,
Q25394508,diabetes and behavior problems,,,,
Q5270210,diabulimia,eating disorder where a person with type 1 diabetes deliberately restricts insulin to lose weight,,,
Q1328245,diaper fetishism,sexual fetish in which a person feels a desire to wear or use diapers,,,
Q30141359,"difficulty completing familiar tasks at home, at work or at leisure",,,,
Q54913640,diffuse neurofibrillary tangles with calcification,"A form of presenile DEMENTIA characterized by cortical dementia, NEUROFIBRILLARY TANGLES without SENILE PLAQUES, Fahr's type CALCINOSIS, and ATROPHY in frontotemporal or TEMPORAL LOBE.",,,
Q55787752,digital anomalies-intellectual disability-short stature syndrome,human disease,,,
Q51884914,digital dementia,,,,
Q18388539,digital hoarding,excessive acquisition of digital material,,,
Q18206542,digital phobic,type of technophobia,,,
Q45111177,diphenhydramine abuse,,,,
Q2717096,dipsomania,medical term for alcoholism,,,
Q3317827,disability affecting intellectual abilities,subnormal intellectual functioning (cognitive disorder),,,
Q3700220,disinhibited attachment disorder,medical condition,,,
Q55782818,disorder of sex development-intellectual disability syndrome,Verloes-Gillerot-Fryns syndrome is a rare association of malformations,,,
Q267759,disorganized schizophrenia,mental disorder,,,
Q102187383,disruptions of 24-hour sleep-wake cycle,symptom,,,
Q18654,dissociative amnesia,Human disease,,,
Q10474308,dissociative anesthesia,,,,
Q2627467,dissociative disorder,"disease of mental health in which the normally well-integrated functions of memory, identity, perception, or consciousness are separated (dissociated)",,,
Q2053759,dissociative disorder not otherwise specified,"mental disease of brain, cord, body",,,
Q18657,dissociative identity disorder,"mental disorder, characterized by multiple personality states and amnesia",,,
Q55787475,distal 17p13.1 microdeletion syndrome,human disease,,,
Q55787031,distal Xq28 microduplication syndrome,human disease,,,
Q5283757,diurnal enuresis,functional daytime urinary incontinence,,,
Q15806471,doromania,,,,
Q55609930,double depression,co-existence of  major depressive disorder  and dysthymia,,,
Q5303074,downblouse,Looking at breasts without permission,,,
Q2351339,drapetomania,conjectural mental illness linked to scientific racism,,,
Q5308134,driving phobia,fear of driving a vehicle,,,
Q3541786,drug dependence,dependence on pharmaceutical drugs,,,
Q19001148,drug induced sleep disorder,Human disease,,,
Q3505252,drug overdose,ingestion or application of a drug or other substance in quantities greater than recommended amount,,,['substance abuse']
Q18554889,drug psychosis,Psychotic organic mental disorders resulting from the toxic effect of drugs and chemicals or other harmful substance,,,
Q5308960,drug-induced abnormality,potential harm or negative consequences to the unborn baby due to drugs and medications during pregnancy,,,
Q18975073,drug-induced delirium,Human disease,,,
Q18554227,drug-induced mental disorder,Human disease,,,
Q18967915,drug-induced persisting amnestic disease,Human disease,,,
Q55012337,drug-induced psychotic disease with delusion,human disease,,,
Q25932164,drunk,intoxicated as a result of excessive alcohol consumption,,,
Q10384302,dual-role transvestism,medical condition,,,
Q225957,dysarthria,motor speech disorder,['clonazepam'],,
Q742672,dyscalculia,"neurological condition, developmental or acquired",,,
Q4052543,dysequilibrium syndrome,"Dysequilibrium syndrome (DES) is a non-progressive cerebellar disorder characterized by ataxia associated with an intellectual disability, delayed ambulation and cerebellar hypoplasia",,,
Q102186703,dysfunctions associated with arousal from sleep,symptom,,,
Q102187376,dysfunctions associated with sleep stages,symptom,,,
Q5808437,dysglossia,,,,
Q584560,dysgraphia,developmental or acquired neurological condition,,,
Q1087232,dyslalia,speech disorder,,,
Q132971,dyslexia,specific learning disability characterized by troubles with reading,,['reading disorder and écrites disorder'],
Q778413,dysmnesia,poor memory,,,
Q55786218,dysmorphism-short stature-deafness-disorder of sex development syndrome,,,,
Q2705600,dysorthography,medical condition,,,
Q836379,dysphonia,voice disorder,,,
Q3710022,dysphrenia,,,,
Q9158460,dyspinxia,developmental disorder of drawing,,,
Q1229331,dyssocial personality,,,,
Q559435,dyssomnia,"broad classification of sleeping disorders involving difficulty getting to sleep, remain sleeping, or of excessive sleepiness",,,
Q427810,dysthymic disorder,Psychological disorder,,,
Q25456248,e-commerce fear,fear of online shopping,,,
Q3410133,early onset deficitary psychosis,disease category in French classification for child and adolescent mental disorders,,,
Q55346099,early-onset ataxia with dementia,human disease,,,
Q55345929,early-onset autosomal dominant Alzheimer disease,"Early-onset autosomal dominant Alzheimer disease (EOAD) is a progressive dementia with reduction of cognitive functions. EOAD presents the same phenotype as sporadic Alzheimer disease (AD) but has an early age of onset, usually before 60 years old.",,,
Q55786984,early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,human disease,,,
Q55784798,early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome,human disease,,,
Q55782601,early-onset parkinsonism-intellectual disability syndrome,human disease,,,
Q55789008,early-onset schizophrenia,human disease,,,
Q373822,eating disorder,"habit of eating either insufficient or excessive food, to the detriment of health","['sertraline', 'fluoxetine', 'paroxetine']",,
Q11877076,ecclesiophobia,fear of religious buildings,,,
Q937353,echolalia,speech disorder that involves the automatic repetition of vocalizations made by another person,,,
Q11696028,echomimia,,,,
Q16966700,echophenomenon,,,,
Q1280852,echopraxia,"catatonic behaviour, repetitive imitation of the movements of another person",,,
Q31883801,eco-anxiety,worry over climate change,,,
Q5347361,effects of alcohol on memory,health effect of alcohol consumption,,,
Q4358078,effects of cannabis,effects resulting from the use of the cannabis drug,,,
Q912344,ego-dystonic sexual orientation,Human disease,,['anxious'],
Q1298422,egomania,obsessive preoccupation with one's self,,,
Q1299035,egopathy,,,,
Q16884931,eisoptrophobia,fear of mirrors or seeing one's reflection,,,
Q3586219,ejaculation without orgasm,,,,
Q5354941,elective mutism,,,,
Q16722077,embolalia,,,,
Q1294093,emetophilia,"sexual arousal from vomiting, or watching others vomit",,,
Q3063847,emotional and behavioral disorders,broad disability classification used in educational settings that allows educational institutions to provide special education and related services to students who have displayed poor social and/or academic progress,,,
Q5803085,emotional dependency,,,,
Q1229382,emotional detachment,inability to connect to others on an emotional level,,,
Q12046440,emotional disorder,symptom,,,
Q3316140,emotional dysregulation,difficulty controlling and moderating one's emotional reactions,,,
Q4531712,emotionally unstable personality disorder,,,,
Q4200416,"emotionally unstable personality disorder, impulsive type","subtype of borderline personality disorder, with the ICD-10 classification of F60.30",,,
Q653027,encopresis,voluntary or involuntary fecal soiling in toilet trained children,,,
Q5376333,endogenous depression,mental depression that is characterized by a dysregulation of the endogenous opioid system and not of the monaminergic system,,,
Q16543683,endogenous mental disorder,,,,
Q1340675,endogenous psychosis,,,,
Q53711590,enduring personality change after psychiatric illness,personality change attributable to the traumatic experience of suffering from a severe mental disorder,,,
Q2157130,entomophobia,fear for insects,,,
Q3448862,enuresis,repeated inability to control urination,['desmopressin'],,
Q595012,ephebophilia,paraphilia characterized by sexual attraction to adolescents aged from 15-18,,,
Q774045,epilepsy aura,biological term,,,
Q55783093,epilepsy-microcephaly-skeletal dysplasia syndrome,,,,
Q55781873,epilepsy-telangiectasia syndrome,,,,
Q55785829,epiphyseal dysplasia-hearing loss-dysmorphism syndrome,human disease,,,
Q5383564,episodic dyscontrol syndrome,psychiatric disorder,,,
Q30751616,epistaxiophobia,,,,
Q14850665,eproctophilia,paraphilia in which a subject derives gratification from farts,,,
Q5384517,equinophobia,psychological fear of horses,,,
Q184674,erectile dysfunction,Erectile dysfunction  (ED) is a common type of male sexual dysfunction. It is when a man has trouble getting or keeping an erection. ED becomes more common as you get older. But it's not a natural part of aging.,"['methyltestosterone', 'sildenafil citrate', 'vardenafil', 'yohimbine', 'sildenafil', 'ginseng', 'papaverine']",,
Q1269174,erotic lactation,sexual arousal by breastfeeding on a woman's breast,,,
Q252185,erotomania,"subtype of a delusional disorder, characterized by delusions of another person (possibly imaginary) being infatuated with the patient; commonly, the onset is sudden and the course is chronic",,,
Q2602871,erotophobia,phobia,,,
Q21515328,erratic behavior,symptom,,,
Q1363791,erythrophobia,fear of blushing or the color red,,,
Q24946301,eurotophobia,aversion to or dislike of female genitalia,,,
Q12382516,evolutionary aphasia,,,,
Q904200,excoriation disorder,mental disorder involving compulsive skin-picking,,,
Q1383948,excrementophilia,paraphilic disorder,,,
Q5419936,executive dysfunction,"difficulty with executive functions such as organization, planning ahead, and self-monitoring",,,
Q1669692,exercise addiction,addiction linked to physical exercice,,,
Q18449712,exhaustion disorder,,,,
Q43405,exhibitionism,act of exposing in a public or semi-public context one's suggestive body parts,,,
Q3061998,exobiophilia,sexual attraction to aliens,,,
Q3106901,exploding head syndrome,Syndrome where people perceive loud imagined noises when falling asleep or waking up,,,
Q923164,expressive aphasia,type of aphasia characterized by partial loss of the ability to produce language,,,
Q21816967,expressive dysphasia,,,,
Q1075470,expressive language disorder,neurodevelopmental condition,,,
Q25053967,externalizing disorders,type of disorders,,,
Q55780580,extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,human disease,,,
Q55784970,facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,human disease,,,
Q55781798,facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,,,,
Q17385141,faciocardiorenal syndrome,"Faciocardiorenal syndrome is a very rare syndrome characterized by intellectual deficit, horseshoe kidney, and congenital heart defects",,,
Q2686385,factitious disorder,"disease of mental health where symptoms are deliberately produced, feigned or exaggerated in order to falsely demonstrate the presence of an illness",,,
Q1641328,factitious hypoglycemia,,,,
Q9178700,failure of genital response,,,,
Q3508619,fallot complex - intellectual disability - growth delay,"Fallot complex - intellectual deficit - growth delay is a rare disorder characterized by tetralogy of Fallot, minor facial anomalies, and severe intellectual deficiency and growth delay",,,
Q56316946,false memories in autobiographical writings,,,,
Q2051704,false memory,memory of events that actually did not happen,,,
Q1065846,false pregnancy,appearance of a pregnancy when none exists,,,
Q55345991,familial Alzheimer-like prion disease,". Patients present with a prolonged, atypical course (absence of myoclonus or ataxia) unlike other forms of prion disease with severe neurofibrillary tangle pathology and high levels of cerebral amyloidosis.",,,
Q55782808,familial developmental dysphasia,,,,
Q2868792,familial isolated deficiency of vitamin E,rare autosomal recessive neurodegenerative disease. Symptoms are similar to those of Friedreich ataxia,,,
Q22905841,fat fetishism,type of paraphilia,,,
Q862872,fatal familial insomnia,Prion disease of the human brain,,"['hallucination', 'agrypnia excitata', 'arterial hypertension', 'fever', 'insomnia', 'panic attack', 'phobia', 'generalized anxiety disorder', 'ageing', 'dementia']",
Q21479973,fatorexia,"distorted self-perception of being slim,  failure to identify overweight",,,
Q55346022,fatty acid hydroxylase-associated neurodegeneration,,,,
Q44619,fear,emotion induced by perceived danger or threat,,,
Q2160101,fear of bees,phobia of bees,,,
Q5409611,fear of childbirth,,,,
Q650459,fear of commitment,,,,
Q1788984,fear of crime,fear of being a victim of crime as opposed to the actual probability of being a victim of crime,,,
Q3321265,fear of fish,fear of traditional and non traditional fishes,,,
Q4297397,fear of frogs,phobia known as frog phobia or ranidaphobia,,,
Q5439397,fear of intimacy,Phobia of close interpersonal relationships,,,
Q3440772,fear of mice,Phobia,,,
Q169922,fear of needles,phobia of medical procedures involving injections or needles,,,
Q4147342,fear of pregnancy,,,,
Q108267068,fear of the future,fear of events that might occur in the future,,,
Q16711279,febrile schizophrenia,,,,
Q358042,feeble-minded,term once used in psychiatry to describe people with intellectual disabilities,,,
Q18554097,feeding and eating disorders of childhood,,,,
Q1353790,felching,when semen or other fluids are sucked from the anus,,,
Q5441917,feline spongiform encephalopathy,Feline brain disease,,,
Q3241252,female sexual arousal disorder,persistent or recurrent inability to attain sexual arousal or to maintain arousal until the completion of a sexual activity,,,
Q102293999,female-restricted syndromic X-linked intellectual disability 99,human disease,,,
Q21504884,fentanyl toxicity,overdose of fentanyl,['naloxone'],"['muscle rigidity', 'pulmonary edema', 'wooden chest', 'gastric hypomotility', 'hypoxia', 'miosis', 'bradycardia', 'shock', 'ileus', 'spasm', 'eye irritation', 'central nervous system depression', 'hypoventilation', 'hypotension', 'acidosis', 'intracranial hypertension', 'fatigue', 'respiratory arrest', 'coma']",
Q5820163,fetal alcohol effects,"fetal alcohol spectrum disorder that results in most, but not all, of the growth deficiency and/or craniofacial features of fetal alcohol syndrome including central nervous system dysfunction due to prenatal alcohol exposure",,,
Q17002116,fetal alcohol spectrum disorders,group of conditions that can occur in a person whose mother drank alcohol during pregnancy,,,
Q400277,fetal alcohol syndrome,severe form of fetal alcohol spectrum disorder,,,
Q55787831,fetal anticonvulsant syndrome,human disease,,,
Q55787832,fetal carbamazepine syndrome,"exposure to carbamazepine, in combination with valproate, has been associated with significant developmental delay (particularly affecting verbal intelligence) and a high rate of congenital anomalies",,,
Q55785876,fetal minoxidil syndrome,,,,
Q1409081,fetal nicotine spectrum disorder,"specific developmental disorder that is characterized by physical, behavioral and learning birth defects resulting from maternal ingestion of nicotine during pregnancy",,,
Q55790243,fetal phenothiazine syndrome,human disease,,,
Q207791,fetishism,sexual arousal a person receives from an object or situation,,,
Q1114480,finger agnosia,agnosia that is a loss of the ability to distinguish the fingers on the hand,,,
Q4483652,fixation amnesia,inability to form new memories and loss of recent memory,,,
Q1127417,flying phobia,human disease,,,
Q5463847,focal dermal hypoplasia,form of ectodermal dysplasia,,,
Q11968320,focal nocturnal epileptiform activity,,,,
Q1435409,folie à deux,"shared psychosis, a psychiatric syndrome in which symptoms of a delusional belief are transmitted from one individual to another",,,
Q2742106,food addiction,behavioral addiction that is characterized by the compulsive consumption of palatable foods despite adverse consequences.,,,
Q1873928,food fetish,,,,
Q463859,foot fetishism,pronounced sexual interest in feet,,,
Q107417158,footjob,the act of using one's foot to invoke sexual pleasure,,,
Q56314895,forced collectionnism,,,,
Q18553687,form agnosia,agnosia that is a loss of the ability to perceive a whole object while perceiving only parts of details,,,
Q5470185,formication,abnormal sensation that bugs are crawling on or under the skin,,,
Q1276313,formicophilia,form of zoophilia,,,
Q11711767,fortification illusions of migraine,,,,
Q221472,fragile X syndrome,congenital disorder of nervous system,,,
Q1440436,fragile X-associated tremor/ataxia syndrome,Fragile X-associated tremor/ataxia syndrome (FXTAS) is a rare neurodegenerative disorder characterized by adult-onset progressive intention tremor and gait ataxia,,,
Q25402715,free-floating anxiety,,,,
Q1973636,frenzy,mental disorder,,,
Q786468,frontal lobe disorder,disorder,,,
Q55789507,frontal lobe ependymal tumor,ependymal tumor affecting the frontal lobe of the brain,,,
Q18554226,frontal lobe neoplasm,Human disease,,,
Q55346097,frontotemporal degeneration with dementia,human disease,,,
Q18592,frontotemporal dementia,medical condition,,"['change', 'behavioral disorder', 'anomic aphasia', 'primary progressive aphasia', 'dementia', 'language disorder', 'memory disorder', 'motor disorder']",
Q742324,frotteurism,paraphilic interest in rubbing,,,
Q951639,fugue state,dissociative disorder,,,
Q11695503,functional dyslalia,,,,
Q25379037,functional psychosis,,,,
Q18556252,gait apraxia,Human disease,,,
Q3954707,galeophobia,fear of sharks,,,
Q1493220,gammacism,,,,
Q2497100,gamophobia,fear of getting married or being in a relationship,,,
Q95395615,gang stalking,persecutory belief system,,,
Q5876639,geliophobia,fear of laughter,,,
Q1477048,gelotophobia,type of social phobia consisting in the fear of being laughed at,,,
Q1049021,gender dysphoria,mental distress resulting from mismatch between gender identity and biological gender assigned at birth,"['sex reassignment therapy', 'sex reassignment surgery']",,
Q3704805,gender dysphoria in children,psychiatric disorder,,,
Q11491595,gender identity disorder,,,,
Q18966527,gender identity disorder in adolescent or adult,Human disease,,,
Q845224,generalized anxiety disorder,anxiety disorder that is characterized by long-lasting anxiety that is not focused on any one object or situation,"['clonazepam', 'paroxetine', 'sertraline', '(S)-duloxetine', 'pregabalin', 'alprazolam', '(RS)-citalopram', 'venlafaxine', 'quetiapine', 'escitalopram']",,
Q55785541,genetic dementia,Genetic dementia,,,
Q55785865,genetic intellectual disability,Rare genetic intellectual disability,,,
Q55346116,genetic neurodegenerative disease with dementia,instance of neurodegenerative disease with dementia that is caused by a modification of the individual's genome,,,
Q55785866,genetic syndromic intellectual disability,Rare genetic syndromic intellectual disability,,,
Q2275605,genophobia,fear of sexual relations or sexual intercourse,,,
Q5533828,genuphobia,fear of one's own knees or someone else's knees or the act of kneeling,,,
Q2995241,gephyrophobia,specific phobia characterized by the fear of bridges,,,
Q347967,gerontophilia,sexual attraction toward the elderly,,,
Q55780798,glaucoma-sleep apnea syndrome,Glaucoma-sleep apnea syndrome is characterized by sleep apnoea associated with glaucoma. It has been described in five members of a family (the mother and four of her children).,,,
Q662626,global aphasia,severe form of brain damage,,,
Q55788498,global developmental delay-osteopenia-ectodermal defect syndrome,"This syndrome is characterised by the association of global developmental delay, osteopenia and skin anomalies",,,
Q55788368,global developmental delay-visual anomalies-progressive cerebellar atrophy-truncal hypotonia syndrome,human disease,,,
Q3641768,globus pharyngis,"persistent but painless sensation of having a pill, food bolus, or some other sort of obstruction in the throat when there is none",,,
Q2540262,glossophobia,fear of public speaking or of speaking in general,,,
Q55782466,glycogen storage disease due to phosphoglycerate kinase 1 deficiency,"Phosphoglycerate kinase (PGK) deficiency is a metabolic disorder characterized by variable combinations of nonspherocytic hemolytic anemia, myopathy, and various central nervous system abnormalities",,,
Q987664,grandiose delusions,"psychopathological condition (that is, when an individual believes that he has exceptional abilities, fame, wealth, or omnipotence)",,,
Q14490720,grandiosity,unrealistic sense of superiority and of uniqueness,,,
Q953131,graphomania,obsessive impulse to write,,,
Q5613758,guanidinoacetate methyltransferase deficiency,Human disease,,,
Q1010522,gymnophobia,phobia for naked bodies,,['clothing'],
Q1558456,gynophobia,abnormal fear of women,,,
Q55781925,hair defect-photosensitivity-intellectual disability syndrome,"Calderon-Gonzalez-Cantu syndrome is characterized by the association of stubby, coarse, sparse and fragile hair, eyebrows and eyelashes with photosensitivity and nonprogressive intellectual deficit without a demonstrable metabolic aberration",,,
Q1269203,hair fetishism,Paraphilia in which sexual arousal is achieved by interaction with human hair,,,
Q1391805,halitophobia,phobia,,,
Q130741,hallucination,"perception in the presence of no external stimuli found, but characteristic of true perception",,,
Q18967503,hallucinatory state induced by drug,Human disease,,,
Q18558273,hallucinogen dependence,drug dependence that involves the continued use of hallucinogenic drugs despite problems related to use of the substance,,,
Q1001920,hallucinogen persisting perception disorder,Effects mental disorder,,,
Q965539,hand fetishism,sexual fascination with hands,,,
Q207334,hangover,unpleasant physiological and psychological effects following the consumption of ethanol,,,
Q3048979,health effects of beer,,,,
Q2933021,health effects of caffeine,,,,
Q465016,health effects of tobacco,"circumstances, mechanisms, and factors of tobacco consumption on human health",,,
Q1191575,hebephilia,proposed paraphilia encompassing the sexual interest in pubescent children,,,
Q3144528,heboidophrenia,,,,
Q23679966,hedonophobia,fear or aversion to obtaining pleasure,,,
Q1035100,helper syndrome,,,,
Q16574388,hemiasomatognosia,,,,
Q40103033,hemimegalencephaly,a rare disorder affecting development of one side of the brain,,,
Q152289,hemispatial neglect,"neuropsychological condition in which, after damage to one hemisphere of the brain is sustained, a deficit in attention to and awareness of one side of space is observed",,,
Q11897418,hepatic fibrosis-renal cysts-intellectual disability syndrome,human disease,,,
Q3730759,heptadecaphobia,fear of the number 17,,,
Q55783613,hereditary cryohydrocytosis with reduced stomatin,human disease,,,
Q55346113,hereditary progressive chorea without dementia,human disease,,,
Q50349724,hereditary sensory neuropathy-deafness-dementia syndrome,"hereditary sensory neuropathy characterized by adult onset of progressive peripheral sensory loss, progressive hearing impairment, and early-onset dementia that has material basis in heterozygous mutation in the DNMT1 gene on chromosome 19p13",,,
Q32142563,hereditary spastic paraplegia 11,hereditary spastic paraplegia that has material basis in mutation in the SPG11 gene on chromosome 15q21,,,
Q18558272,heroin dependence,opiate dependence that involves the continued use of heroin despite problems related to use of the substance,['buprenorphine'],"['mental depression', 'cognitive dysfunction', 'brain damage', 'withdrawal symptom']",
Q1613864,herostratism,,,,
Q2319444,herpetophobia,fear or aversion to reptiles,,,
Q420724,hexakosioihexekontahexaphobia,"aversion to the number 666 or ""number of the beast""",,,
Q12019630,hierophobia,fear of what is religious or sacred,,,
Q1788847,high-functioning autism,"people with autism who are deemed to be cognitively ""higher functioning"" (with an IQ of 70 or greater) than other people with autism","['antidepressant', 'stimulant', 'antipsychotics']",,
Q2721459,highway  phobia,,,,
Q845787,histrionic personality disorder,personality disorder characterized by excessive emotionality and attention-seeking,,,
Q102187439,hoarse voice,symptom,,,
Q3930506,hoarseness,voice characteristic of being hoarse or raucous,,,
Q1595931,homesickness,distress caused by being away from home,,,
Q4142984,homicidal mania,irresistible urge to kill,,,
Q3755302,homosexual necrophilia in mallards,,,,
Q389378,hospitalism,pediatric diagnosis used in the 1930s to describe infants who wasted away while in hospital,,,
Q1029707,hottentotism,obsolescent language disorder,,,
Q2248357,huffing,"illicit use of chemical vapors, inhaled to produce a rapid mind-altering effect",,,
Q2996866,human coprophagia,"psychiatric symptom, rare aberrant human behavior involving consumption of excrement",,['coprophagia'],
Q1269190,hybristophilia,"a paraphilia in which sexual arousal are responsive to and contingent upon being with a partner known to have committed an outrage, cheating, lying, known infidelities, or crime",,,
Q55782561,hydrocephaly-cerebellar agenesis syndrome,"This syndrome is characterised by infantile hypotonia followed by onset of ataxia, cataract and intellectual deficit by preschool age. Cerebral atrophy was also reported.",,,
Q1640850,hyperactivity,symptom,,,
Q962154,hypergraphia,behavioral condition characterized by the intense desire to write,,,
Q567711,hypergymnasia,,,,
Q17028415,hyperkinetic disorder,range of neurodevelopmental conditions,,,
Q776660,hyperlexia,precocious ability to read words without prior training in learning to read typically before the age of 5,,,
Q32146367,hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,human disease,,,
Q1641033,hypermnesia,,,,
Q16642636,hyperreligiosity,medical condition,,,
Q267907,hypersexuality,excessive arousal and interest in sex,,,
Q751641,hypersomnia,excessive sleep,"['modafinil', 'sodium oxybate', 'methylphenidate', 'armodafinil']",,
Q102186790,hypersomnia with sleep apnea,symptom,,,
Q18554800,"hypertelorism, microtia, facial clefting syndrome","autosomal recessive disease that is characterized by the combination of hypertelorism, cleft lip and palate and microtia",,"['microtia', 'hypertelorism', 'cleft lip and cleft palate']",
Q45320,hyperthymesia,condition of possessing an extremely detailed autobiographical memory,,,
Q3824320,hyperthymia,"cheerful, positive mood",,,
Q1308944,hypnic jerk syndrome,involuntary twitches,,,
Q1120518,hypnophobia,fear of sleep,,,
Q303555,hypoactive sexual desire disorder,sexual dysfunction,['yohimbine'],,
Q28923579,hypochondriacal schizophrenia,subtype of schizophrenia defined in Russia,,,
Q105434,hypochondriasis,somatoform disorder that involves an excessive preoccupation or worry about having a serious illness,,,
Q55784623,hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome,human disease,,,
Q188611,hypomania,mood state characterized by persistent and pervasive elevated or irritable mood,,,
Q12632309,hypomnesia,,,,
Q28065601,hypomyelinating leukodystrophy 12,Human disease,,,
Q28065598,hypomyelinating leukodystrophy 5,"Hypomyelination-congenital cataract is characterized by the onset of cataract either at birth or in the first two months of life, delayed psychomotor development by the end of the first year of life and moderate intellectual deficit",,,
Q28065596,hypomyelinating leukodystrophy 9,"hypomyelinating leukodystrophy characterized by delayed psychomotor development, spasticity, and nystagmus starting in the first year of life that has material basis in compound heterozygous mutation in the RARS gene on chromosome 5q34",,,
Q21097782,hypomyelinating leukoencephalopathy,Human disease,,,
Q21124512,hypoparathyroidism-retardation-dysmorphism syndrome,Human disease,,,
Q56316194,hyposomnia,,,,
Q55781981,"hypospadias-intellectual disability, Goldblatt type syndrome",,,,
Q1997867,hypothymia,abnormality of mood resembling depression,,,
Q55786209,"hypotrichosis-intellectual disability, Lopes type","Hypotrichosis-intellectual disability, Lopes type is characterised by hypotrichosis, syndactyly, intellectual deficit and early eruption of teeth. It has been described in two patients. The mode of transmission appears to be autosomal recessive.",,,
Q3664130,hysterical blindness,,,,
Q10530921,hysterical psychosis,,,,
Q55781986,ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,,,,
Q25407066,ictal psychosis,,,,
Q2215516,ideas of reference and delusions of reference,"belief that certain gestures, environmental cues, innocuous events, comments and so forth are directed at oneself",,,
Q17028947,identity disorder,type of mental disorder,,,
Q1656793,ideomotor apraxia,Human disease,,,
Q55786234,idiopathic hypersomnia with long sleep time,,,,
Q55786235,idiopathic hypersomnia without long sleep time,,,,
Q28735834,idiopathic normal pressure hydrocephalus,,,,
Q193607,idiot,person of low intelligence,,,
Q4200185,imbecile,term once used in psychiatry to describe people of moderately low intelligence,,,
Q101402572,immature personality disorder,Personality disorder,,,
Q55782512,immunodeficiency 47,human disease,,,
Q2061676,imperative hallucination,,,,
Q6007152,implant,in Scientology,,,
Q1201835,impulse control disorder,disease of mental health that involves a failure to resist an impulsive act or behaviour that may be harmful to self or others,['risperidone'],,
Q3381343,impulsion-phobias,fear of committing impulsive acts,,,
Q102187162,inability to comprehend speech,symptom,,,
Q102186694,inability to form words,symptom,,,
Q26897870,inability to maintain relationships,,,,
Q102187104,inability to speak,symptom,,,
Q2559613,inappropriate social behavior,,,,
Q3508770,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,"syndrome that is characterized by progressive proximal muscle weakness, steolytic bone lesions consistent with Paget disease, and frontotemporal dementia and has physical basis in mutation in the valosin containing protein (VCP)",,,
Q9390206,incubus dream,,,,
Q55785874,indomethacin embryofetopathy,,,,
Q55346072,infantile Refsum disease,medical condition,,,
Q55781750,infantile choroidocerebral calcification syndrome,,,,
Q55784881,infantile multisystem neurologic-endocrine-pancreatic disease,human disease,,,
Q3410134,infantile psychosis,,,,
Q55786704,infantile spams-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome,human disease,,,
Q55345791,infantile-onset autosomal recessive nonprogressive cerebellar ataxia,human disease,,,
Q55346060,infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,human disease,,,
Q55789146,infectious disease with dementia,human disease,,,
Q15640367,infective psychosis,,,,
Q25379267,information addcition,,,,
Q55345655,inherited Creutzfeldt-Jakob disease,,,,
Q16662567,inherited prion disease,instance of prion disease that is caused by an inherited modification of the individual's genome,,,
Q18557624,inhibited female orgasm,Human disease,,,
Q18556875,inhibited male orgasm,Human disease,,,
Q6034425,injury phobia,"abnormal, pathological fear of having an injury",,,
Q505619,insanity,abnormal mental or behavioral patterns,,,
Q1869874,insomnia,inability to sleep peacefully,"['gabapentin', 'zaleplon', 'doxylamine', 'amobarbital', 'quazepam', 'diphenhydramine', 'ethchlorvynol', 'mirtazapine', 'ramelteon', 'eszopiclone', 'ethinamate', 'secobarbital', 'olanzapine', 'thiobutabarbital', 'lorazepam', 'suvorexant', 'zolpidem', 'alprazolam', 'clonazepam', 'trazodone', 'flurazepam', 'aprobarbital', 'propiomazine', 'cidoxepin', 'quetiapine', 'estazolam', 'temazepam', 'sodium oxybate', 'methyprylon', 'diazepam', 'glutethimide', 'amitriptyline', 'butabarbital', 'risperidone', 'triazolam', 'bromodiphenhydramine']",,
Q102186555,insomnia with sleep apnea,symptom,,,
Q6043263,integrative agnosia,agnosia that is a loss of the ability to integrate these elements together into comprehensible perceptual wholes while recognizing elements of the whole,,,
Q55785192,intellectual developmental disorder with dysmorphic facies and ptosis,human disease,,,
Q102296322,intellectual developmental disorder with short stature and behavioral abnormalities,human disease,,,
Q183560,intellectual disability,generalized neurodevelopmental disorder,,,
Q55788293,intellectual disability syndrome due to a DYRK1A point mutation,human disease,,,
